a,b,c,d
25,2,50,56
25,2,60,57
25,2,70,59
25,2,80,60
25,2,90,62
25,2,100,63
25,2,150,67
25,2,200,72
25,2,250,76
25,2,300,80
25,2,350,84
25,2,400,87
25,2,450,91
25,2,500,94
25,2,550,97
25,2,600,100
25,2,650,103
25,2,700,106
25,2,750,109
25,2,800,111
25,2,850,114
25,2,900,117
25,2,950,120
25,2,1000,123
25,2,1100,128
25,2,1200,133
25,2,1300,138
25,2,1400,143
25,2,1500,149
25,2,1600,154
25,2,1700,159
25,2,1800,164
25,2,1900,169
25,2,2000,174
25,3,50,67
25,3,60,70
25,3,70,72
25,3,80,75
25,3,90,77
25,3,100,80
25,3,150,89
25,3,200,98
25,3,250,106
25,3,300,115
25,3,350,120
25,3,400,125
25,3,450,129
25,3,500,134
25,3,550,142
25,3,600,151
25,3,650,159
25,3,700,167
25,3,750,176
25,3,800,184
25,3,850,192
25,3,900,200
25,3,950,209
25,3,1000,217
25,3,1100,229
25,3,1200,241
25,3,1300,253
25,3,1400,265
25,3,1500,278
25,3,1600,290
25,3,1700,302
25,3,1800,314
25,3,1900,326
25,3,2000,338
25,4,50,81
25,4,60,85
25,4,70,89
25,4,80,93
25,4,90,97
25,4,100,101
25,4,150,116
25,4,200,132
25,4,250,147
25,4,300,162
25,4,350,176
25,4,400,191
25,4,450,205
25,4,500,219
25,4,550,232
25,4,600,244
25,4,650,257
25,4,700,270
25,4,750,283
25,4,800,295
25,4,850,308
25,4,900,321
25,4,950,333
25,4,1000,346
25,4,1100,368
25,4,1200,390
25,4,1300,412
25,4,1400,434
25,4,1500,457
25,4,1600,479
25,4,1700,501
25,4,1800,523
25,4,1900,545
25,4,2000,567
25,5,50,97
25,5,60,103
25,5,70,109
25,5,80,114
25,5,90,120
25,5,100,126
25,5,150,151
25,5,200,176
25,5,250,200
25,5,300,225
25,5,350,244
25,5,400,263
25,5,450,281
25,5,500,300
25,5,550,322
25,5,600,344
25,5,650,365
25,5,700,387
25,5,750,409
25,5,800,431
25,5,850,453
25,5,900,474
25,5,950,496
25,5,1000,518
25,5,1100,554
25,5,1200,589
25,5,1300,625
25,5,1400,661
25,5,1500,697
25,5,1600,732
25,5,1700,768
25,5,1800,804
25,5,1900,839
25,5,2000,875
25,6,50,115
25,6,60,123
25,6,70,132
25,6,80,140
25,6,90,149
25,6,100,157
25,6,150,193
25,6,200,229
25,6,250,264
25,6,300,300
25,6,350,333
25,6,400,366
25,6,450,399
25,6,500,432
25,6,550,463
25,6,600,493
25,6,650,524
25,6,700,555
25,6,750,586
25,6,800,616
25,6,850,647
25,6,900,678
25,6,950,708
25,6,1000,739
25,6,1100,792
25,6,1200,846
25,6,1300,899
25,6,1400,952
25,6,1500,1006
25,6,1600,1059
25,6,1700,1112
25,6,1800,1165
25,6,1900,1219
25,6,2000,1272
50,2,50,81
50,2,60,82
50,2,70,84
50,2,80,85
50,2,90,87
50,2,100,88
50,2,150,92
50,2,200,97
50,2,250,101
50,2,300,105
50,2,350,109
50,2,400,112
50,2,450,116
50,2,500,119
50,2,550,122
50,2,600,125
50,2,650,128
50,2,700,131
50,2,750,134
50,2,800,136
50,2,850,139
50,2,900,142
50,2,950,145
50,2,1000,148
50,2,1100,153
50,2,1200,158
50,2,1300,163
50,2,1400,168
50,2,1500,174
50,2,1600,179
50,2,1700,184
50,2,1800,189
50,2,1900,194
50,2,2000,199
50,3,50,92
50,3,60,95
50,3,70,97
50,3,80,100
50,3,90,102
50,3,100,105
50,3,150,114
50,3,200,123
50,3,250,131
50,3,300,140
50,3,350,145
50,3,400,150
50,3,450,154
50,3,500,159
50,3,550,167
50,3,600,176
50,3,650,184
50,3,700,192
50,3,750,201
50,3,800,209
50,3,850,217
50,3,900,225
50,3,950,234
50,3,1000,242
50,3,1100,254
50,3,1200,266
50,3,1300,278
50,3,1400,290
50,3,1500,303
50,3,1600,315
50,3,1700,327
50,3,1800,339
50,3,1900,351
50,3,2000,363
50,4,50,106
50,4,60,110
50,4,70,114
50,4,80,118
50,4,90,122
50,4,100,126
50,4,150,141
50,4,200,157
50,4,250,172
50,4,300,187
50,4,350,201
50,4,400,216
50,4,450,230
50,4,500,244
50,4,550,257
50,4,600,269
50,4,650,282
50,4,700,295
50,4,750,308
50,4,800,320
50,4,850,333
50,4,900,346
50,4,950,358
50,4,1000,371
50,4,1100,393
50,4,1200,415
50,4,1300,437
50,4,1400,459
50,4,1500,482
50,4,1600,504
50,4,1700,526
50,4,1800,548
50,4,1900,570
50,4,2000,592
50,5,50,122
50,5,60,128
50,5,70,134
50,5,80,139
50,5,90,145
50,5,100,151
50,5,150,176
50,5,200,201
50,5,250,225
50,5,300,250
50,5,350,269
50,5,400,288
50,5,450,306
50,5,500,325
50,5,550,347
50,5,600,369
50,5,650,390
50,5,700,412
50,5,750,434
50,5,800,456
50,5,850,478
50,5,900,499
50,5,950,521
50,5,1000,543
50,5,1100,579
50,5,1200,614
50,5,1300,650
50,5,1400,686
50,5,1500,722
50,5,1600,757
50,5,1700,793
50,5,1800,829
50,5,1900,864
50,5,2000,900
50,6,50,140
50,6,60,148
50,6,70,157
50,6,80,165
50,6,90,174
50,6,100,182
50,6,150,218
50,6,200,254
50,6,250,289
50,6,300,325
50,6,350,358
50,6,400,391
50,6,450,424
50,6,500,457
50,6,550,488
50,6,600,518
50,6,650,549
50,6,700,580
50,6,750,611
50,6,800,641
50,6,850,672
50,6,900,703
50,6,950,733
50,6,1000,764
50,6,1100,817
50,6,1200,871
50,6,1300,924
50,6,1400,977
50,6,1500,1031
50,6,1600,1084
50,6,1700,1137
50,6,1800,1190
50,6,1900,1244
50,6,2000,1297
100,2,50,131
100,2,60,133
100,2,70,134
100,2,80,136
100,2,90,137
100,2,100,139
100,2,150,143
100,2,200,148
100,2,250,152
100,2,300,156
100,2,350,160
100,2,400,163
100,2,450,167
100,2,500,170
100,2,550,173
100,2,600,176
100,2,650,179
100,2,700,182
100,2,750,185
100,2,800,187
100,2,850,190
100,2,900,193
100,2,950,196
100,2,1000,199
100,2,1100,204
100,2,1200,209
100,2,1300,214
100,2,1400,219
100,2,1500,225
100,2,1600,230
100,2,1700,235
100,2,1800,240
100,2,1900,245
100,2,2000,250
100,3,50,143
100,3,60,146
100,3,70,148
100,3,80,151
100,3,90,153
100,3,100,156
100,3,150,165
100,3,200,173
100,3,250,182
100,3,300,190
100,3,350,198
100,3,400,206
100,3,450,213
100,3,500,221
100,3,550,228
100,3,600,235
100,3,650,242
100,3,700,249
100,3,750,257
100,3,800,264
100,3,850,271
100,3,900,278
100,3,950,285
100,3,1000,292
100,3,1100,304
100,3,1200,316
100,3,1300,328
100,3,1400,340
100,3,1500,353
100,3,1600,365
100,3,1700,377
100,3,1800,389
100,3,1900,401
100,3,2000,413
100,4,50,156
100,4,60,160
100,4,70,164
100,4,80,168
100,4,90,172
100,4,100,176
100,4,150,192
100,4,200,207
100,4,250,223
100,4,300,238
100,4,350,252
100,4,400,266
100,4,450,279
100,4,500,293
100,4,550,306
100,4,600,318
100,4,650,331
100,4,700,344
100,4,750,357
100,4,800,369
100,4,850,382
100,4,900,395
100,4,950,407
100,4,1000,420
100,4,1100,442
100,4,1200,464
100,4,1300,486
100,4,1400,508
100,4,1500,531
100,4,1600,553
100,4,1700,575
100,4,1800,597
100,4,1900,619
100,4,2000,641
100,5,50,172
100,5,60,178
100,5,70,184
100,5,80,189
100,5,90,195
100,5,100,201
100,5,150,226
100,5,200,250
100,5,250,275
100,5,300,299
100,5,350,321
100,5,400,344
100,5,450,366
100,5,500,388
100,5,550,408
100,5,600,429
100,5,650,449
100,5,700,470
100,5,750,490
100,5,800,510
100,5,850,531
100,5,900,551
100,5,950,572
100,5,1000,592
100,5,1100,628
100,5,1200,663
100,5,1300,699
100,5,1400,735
100,5,1500,771
100,5,1600,806
100,5,1700,842
100,5,1800,878
100,5,1900,913
100,5,2000,949
100,6,50,189
100,6,60,197
100,6,70,205
100,6,80,214
100,6,90,222
100,6,100,230
100,6,150,266
100,6,200,303
100,6,250,339
100,6,300,375
100,6,350,408
100,6,400,441
100,6,450,474
100,6,500,507
100,6,550,537
100,6,600,567
100,6,650,597
100,6,700,627
100,6,750,657
100,6,800,687
100,6,850,717
100,6,900,747
100,6,950,777
100,6,1000,807
100,6,1100,861
100,6,1200,915
100,6,1300,969
100,6,1400,1023
100,6,1500,1078
100,6,1600,1132
100,6,1700,1186
100,6,1800,1240
100,6,1900,1294
100,6,2000,1348
150,2,50,180
150,2,60,182
150,2,70,184
150,2,80,185
150,2,90,187
150,2,100,189
150,2,150,193
150,2,200,198
150,2,250,202
150,2,300,206
150,2,350,210
150,2,400,213
150,2,450,217
150,2,500,220
150,2,550,223
150,2,600,226
150,2,650,229
150,2,700,232
150,2,750,235
150,2,800,237
150,2,850,240
150,2,900,243
150,2,950,246
150,2,1000,249
150,2,1100,254
150,2,1200,259
150,2,1300,264
150,2,1400,269
150,2,1500,274
150,2,1600,279
150,2,1700,284
150,2,1800,289
150,2,1900,294
150,2,2000,299
150,3,50,192
150,3,60,195
150,3,70,197
150,3,80,200
150,3,90,202
150,3,100,205
150,3,150,214
150,3,200,223
150,3,250,232
150,3,300,241
150,3,350,249
150,3,400,256
150,3,450,264
150,3,500,271
150,3,550,278
150,3,600,285
150,3,650,292
150,3,700,299
150,3,750,307
150,3,800,314
150,3,850,321
150,3,900,328
150,3,950,335
150,3,1000,342
150,3,1100,354
150,3,1200,366
150,3,1300,378
150,3,1400,390
150,3,1500,403
150,3,1600,415
150,3,1700,427
150,3,1800,439
150,3,1900,451
150,3,2000,463
150,4,50,204
150,4,60,208
150,4,70,212
150,4,80,216
150,4,90,220
150,4,100,224
150,4,150,240
150,4,200,256
150,4,250,271
150,4,300,287
150,4,350,301
150,4,400,316
150,4,450,330
150,4,500,344
150,4,550,357
150,4,600,369
150,4,650,382
150,4,700,394
150,4,750,407
150,4,800,420
150,4,850,432
150,4,900,445
150,4,950,457
150,4,1000,470
150,4,1100,492
150,4,1200,514
150,4,1300,537
150,4,1400,559
150,4,1500,581
150,4,1600,603
150,4,1700,625
150,4,1800,648
150,4,1900,670
150,4,2000,692
150,5,50,220
150,5,60,226
150,5,70,232
150,5,80,238
150,5,90,244
150,5,100,250
150,5,150,275
150,5,200,300
150,5,250,324
150,5,300,349
150,5,350,371
150,5,400,393
150,5,450,415
150,5,500,437
150,5,550,458
150,5,600,478
150,5,650,499
150,5,700,519
150,5,750,540
150,5,800,561
150,5,850,581
150,5,900,602
150,5,950,622
150,5,1000,643
150,5,1100,679
150,5,1200,714
150,5,1300,750
150,5,1400,785
150,5,1500,821
150,5,1600,857
150,5,1700,892
150,5,1800,928
150,5,1900,963
150,5,2000,999
150,6,50,236
150,6,60,245
150,6,70,253
150,6,80,262
150,6,90,270
150,6,100,279
150,6,150,315
150,6,200,351
150,6,250,387
150,6,300,423
150,6,350,456
150,6,400,489
150,6,450,521
150,6,500,554
150,6,550,584
150,6,600,614
150,6,650,645
150,6,700,675
150,6,750,705
150,6,800,735
150,6,850,765
150,6,900,796
150,6,950,826
150,6,1000,856
150,6,1100,910
150,6,1200,964
150,6,1300,1018
150,6,1400,1072
150,6,1500,1126
150,6,1600,1179
150,6,1700,1233
150,6,1800,1287
150,6,1900,1341
150,6,2000,1395
200,2,50,230
200,2,60,232
200,2,70,233
200,2,80,235
200,2,90,236
200,2,100,238
200,2,150,243
200,2,200,247
200,2,250,252
200,2,300,256
200,2,350,260
200,2,400,263
200,2,450,267
200,2,500,270
200,2,550,273
200,2,600,276
200,2,650,279
200,2,700,282
200,2,750,285
200,2,800,287
200,2,850,290
200,2,900,293
200,2,950,296
200,2,1000,299
200,2,1100,304
200,2,1200,309
200,2,1300,314
200,2,1400,319
200,2,1500,324
200,2,1600,329
200,2,1700,334
200,2,1800,339
200,2,1900,344
200,2,2000,349
200,3,50,241
200,3,60,244
200,3,70,247
200,3,80,249
200,3,90,252
200,3,100,255
200,3,150,264
200,3,200,273
200,3,250,281
200,3,300,290
200,3,350,298
200,3,400,306
200,3,450,313
200,3,500,321
200,3,550,328
200,3,600,335
200,3,650,342
200,3,700,349
200,3,750,356
200,3,800,363
200,3,850,370
200,3,900,377
200,3,950,384
200,3,1000,391
200,3,1100,403
200,3,1200,415
200,3,1300,427
200,3,1400,439
200,3,1500,451
200,3,1600,462
200,3,1700,474
200,3,1800,486
200,3,1900,498
200,3,2000,510
200,4,50,253
200,4,60,257
200,4,70,261
200,4,80,266
200,4,90,270
200,4,100,274
200,4,150,290
200,4,200,306
200,4,250,321
200,4,300,337
200,4,350,351
200,4,400,365
200,4,450,379
200,4,500,393
200,4,550,406
200,4,600,418
200,4,650,431
200,4,700,443
200,4,750,456
200,4,800,469
200,4,850,481
200,4,900,494
200,4,950,506
200,4,1000,519
